TERRITORIO#es,TIME_PERIOD#es,FLUJO_ENERGIA#es,FLUJO_ENERGIA_CODE,OBS_VALUE
Agaete,21/04/2020,Total,_T,34.38
Agaete,22/04/2020,Total,_T,33.42
Agaete,23/04/2020,Total,_T,34.15
Agaete,24/04/2020,Total,_T,34.07
Agaete,25/04/2020,Total,_T,33.37
Agaete,26/04/2020,Total,_T,33.13
Agaete,27/04/2020,Total,_T,33.61
Agaete,28/04/2020,Total,_T,33.58
Agaete,29/04/2020,Total,_T,33.99
Agaete,30/04/2020,Total,_T,33.61
Agaete,01/05/2020,Total,_T,31.29
Agaete,02/05/2020,Total,_T,31.61
Agaete,03/05/2020,Total,_T,31.28
Agaete,04/05/2020,Total,_T,33.73
Agaete,05/05/2020,Total,_T,33.65
Agaete,06/05/2020,Total,_T,32.01
Agaete,07/05/2020,Total,_T,33.17
Agaete,08/05/2020,Total,_T,32.84
Agaete,09/05/2020,Total,_T,32.66
Agaete,10/05/2020,Total,_T,32.2
Agaete,11/05/2020,Total,_T,34.43
Agaete,12/05/2020,Total,_T,32.35
Agaete,13/05/2020,Total,_T,31.98
Agaete,14/05/2020,Total,_T,31.17
Agaete,15/05/2020,Total,_T,31.63
Agaete,16/05/2020,Total,_T,31.73
Agaete,17/05/2020,Total,_T,31.23
Agaete,18/05/2020,Total,_T,33.02
Agaete,19/05/2020,Total,_T,32.18
Agaete,20/05/2020,Total,_T,32.25
Agaete,21/05/2020,Total,_T,31.76
Agaete,22/05/2020,Total,_T,32.98
Agaete,23/05/2020,Total,_T,33.57
Agaete,24/05/2020,Total,_T,33.85
Agaete,25/05/2020,Total,_T,35.36
Agaete,26/05/2020,Total,_T,34.75
Agaete,27/05/2020,Total,_T,33.55
Agaete,28/05/2020,Total,_T,33.64
Agaete,29/05/2020,Total,_T,34.65
Agaete,30/05/2020,Total,_T,35.1
Agaete,31/05/2020,Total,_T,32.3
Agaete,01/06/2020,Total,_T,34.34
Agaete,02/06/2020,Total,_T,34.71
Agaete,03/06/2020,Total,_T,34.52
Agaete,04/06/2020,Total,_T,34.68
Agaete,05/06/2020,Total,_T,40.35
Agaete,06/06/2020,Total,_T,41.48
Agaete,07/06/2020,Total,_T,39.3
Agaete,08/06/2020,Total,_T,38.86
Agaete,09/06/2020,Total,_T,38.17
Agaete,10/06/2020,Total,_T,37.67
Agaete,11/06/2020,Total,_T,37.29
Agaete,12/06/2020,Total,_T,39.47
Agaete,13/06/2020,Total,_T,41.85
Agaete,14/06/2020,Total,_T,39.84
Agaete,15/06/2020,Total,_T,39.44
Agaete,16/06/2020,Total,_T,39.59
Agaete,17/06/2020,Total,_T,39.64
Agaete,18/06/2020,Total,_T,39.27
Agaete,19/06/2020,Total,_T,40.96
Agaete,20/06/2020,Total,_T,43.62
Agaete,21/06/2020,Total,_T,40.87
Agaete,22/06/2020,Total,_T,39.92
Agaete,23/06/2020,Total,_T,39.43
Agaete,24/06/2020,Total,_T,38.58
Agaete,25/06/2020,Total,_T,39.66
Agaete,26/06/2020,Total,_T,41.01
Agaete,27/06/2020,Total,_T,43.72
Agaete,28/06/2020,Total,_T,41.64
Agaete,29/06/2020,Total,_T,39.61
Agaete,30/06/2020,Total,_T,38.43
Agaete,01/07/2020,Total,_T,37.41
Agaete,02/07/2020,Total,_T,37.67
Agaete,03/07/2020,Total,_T,40.18
Agaete,04/07/2020,Total,_T,38.6
Agaete,05/07/2020,Total,_T,37.78
Agaete,06/07/2020,Total,_T,37.69
Agaete,07/07/2020,Total,_T,37.32
Agaete,08/07/2020,Total,_T,37.74
Agaete,09/07/2020,Total,_T,37.83
Agaete,10/07/2020,Total,_T,39.05
Agaete,11/07/2020,Total,_T,40.33
Agaete,12/07/2020,Total,_T,37.74
Agaete,13/07/2020,Total,_T,37.94
Agaete,14/07/2020,Total,_T,36.61
Agaete,15/07/2020,Total,_T,36.47
Agaete,16/07/2020,Total,_T,37.39
Agaete,17/07/2020,Total,_T,38.65
Agaete,18/07/2020,Total,_T,40.19
Agaete,19/07/2020,Total,_T,40.77
Agaete,20/07/2020,Total,_T,41.3
Agaete,21/07/2020,Total,_T,40.18
Agaete,22/07/2020,Total,_T,39.22
Agaete,23/07/2020,Total,_T,39.12
Agaete,24/07/2020,Total,_T,39.91
Agaete,25/07/2020,Total,_T,40.48
Agaete,26/07/2020,Total,_T,39.49
Agaete,27/07/2020,Total,_T,40.37
Agaete,28/07/2020,Total,_T,40.71
Agaete,29/07/2020,Total,_T,38.75
Agaete,30/07/2020,Total,_T,39.08
Agaete,31/07/2020,Total,_T,39.17
Agaete,01/08/2020,Total,_T,41.46
Agaete,02/08/2020,Total,_T,41.1
Agaete,03/08/2020,Total,_T,42.69
Agaete,04/08/2020,Total,_T,40.51
Agaete,05/08/2020,Total,_T,40.38
Agaete,06/08/2020,Total,_T,40.41
Agaete,07/08/2020,Total,_T,42.79
Agaete,08/08/2020,Total,_T,42.45
Agaete,09/08/2020,Total,_T,40.71
Agaete,10/08/2020,Total,_T,42.2
Agaete,11/08/2020,Total,_T,42.56
Agaete,12/08/2020,Total,_T,41.97
Agaete,13/08/2020,Total,_T,41.93
Agaete,14/08/2020,Total,_T,42.16
Agaete,15/08/2020,Total,_T,41.74
Agaete,16/08/2020,Total,_T,41.06
Agaete,17/08/2020,Total,_T,44.01
Agaete,18/08/2020,Total,_T,43.18
Agaete,19/08/2020,Total,_T,42.53
Agaete,20/08/2020,Total,_T,42.15
Agaete,21/08/2020,Total,_T,43.37
Agaete,22/08/2020,Total,_T,45.67
Agaete,23/08/2020,Total,_T,44.12
Agaete,24/08/2020,Total,_T,45.3
Agaete,25/08/2020,Total,_T,45.03
Agaete,26/08/2020,Total,_T,46.47
Agaete,27/08/2020,Total,_T,48.63
Agaete,28/08/2020,Total,_T,47.23
Agaete,29/08/2020,Total,_T,43.97
Agaete,30/08/2020,Total,_T,40.78
Agaete,31/08/2020,Total,_T,40.16
Agaete,01/09/2020,Total,_T,41.08
Agaete,02/09/2020,Total,_T,40.73
Agaete,03/09/2020,Total,_T,40.52
Agaete,04/09/2020,Total,_T,41.55
Agaete,05/09/2020,Total,_T,41.75
Agaete,06/09/2020,Total,_T,40.82
Agaete,07/09/2020,Total,_T,43.51
Agaete,08/09/2020,Total,_T,45.19
Agaete,09/09/2020,Total,_T,45.79
Agaete,10/09/2020,Total,_T,43.39
