fecha,temp_este,temp_norte,temp_sur,hum_este,hum_norte,hum_sur,Agüimes,Arucas,Gáldar,Ingenio,Las Palmas de Gran Canaria,Mogán,San Bartolomé de Tirajana,Santa Lucía de Tirajana,Telde,otros_municipios,consumo_total
2020-01-01,15.98,16.5,17.1,51.25,52.0,49.75,262.81,240.26,189.96,151.37,2521.9,680.43,1372.15,491.21,1149.85,574.6899999999999,7634.63
2020-01-02,15.78,15.95,16.3,44.25,46.5,43.25,358.0,263.98,210.29,184.93,3186.71,709.99,1468.57,485.09,1363.15,659.53,8890.24
2020-01-03,16.02,16.5,16.6,45.75,50.0,42.5,368.43,268.47,208.2,186.64,3219.53,713.29,1526.16,506.92,1443.41,664.58,9105.63
2020-01-04,16.38,16.3,16.82,60.5,67.5,53.25,287.93,261.22,188.89,175.22,2981.85,698.66,1481.12,558.76,1422.27,633.43,8689.35
2020-01-05,17.52,16.9,16.98,64.25,68.5,62.25,261.39,246.11,181.39,158.13,2845.99,675.66,1372.61,540.47,1377.86,616.16,8275.77
2020-01-06,17.7,17.3,17.68,57.75,66.5,58.25,246.27,236.84,172.27,154.39,2560.57,661.83,1333.22,488.03,1210.79,593.36,7657.570000000001
2020-01-07,17.35,17.15,17.42,65.75,70.5,58.0,351.28,274.22,185.32,191.73,3271.87,691.06,1450.77,538.97,1353.47,689.75,8998.44
2020-01-08,17.62,17.3,17.08,66.25,71.0,61.5,360.11,277.3,187.36,193.51,3364.54,692.49,1527.32,537.81,1377.44,703.39,9221.27
2020-01-09,17.68,17.3,17.14,62.25,70.0,60.75,364.34,282.05,188.18,191.71,3418.07,669.05,1492.52,539.33,1375.68,691.27,9212.2
2020-01-10,17.58,17.15,17.73,74.25,78.5,67.0,360.85,278.51,188.19,191.01,3343.32,672.85,1498.55,537.16,1383.74,697.29,9151.47
2020-01-11,17.2,16.5,17.23,66.5,72.5,66.5,277.32,268.1,193.33,178.85,3011.78,664.84,1574.44,557.08,1285.41,670.84,8681.99
2020-01-12,16.82,16.05,16.77,60.0,64.5,62.5,270.95,259.66,186.34,165.89,2793.84,644.5,1375.53,526.74,1208.55,643.4399999999999,8075.44
2020-01-13,16.9,17.35,17.35,54.25,60.5,52.25,356.55,277.78,225.18,190.41,3310.2,668.74,1440.74,529.53,1352.58,691.21,9042.92
